"NOTE_ID","MAX_VISIBILITY","IS_AAA_FEEDBACK","AAA_STATUS","NOTE_TYPE","TEST_PERIOD","BATTERY_GROUP","BATTERY_ID"
6134,2,0,"","MEMO",3,2200,5513
6135,2,0,"","MEMO",3,2200,5507
6136,2,0,"","MEMO",3,2200,5515
6137,2,0,"","MEMO",3,2200,5509
6138,2,0,"","MEMO",3,2200,5517
6139,2,0,"","MEMO",3,2200,5512
6140,2,0,"","MEMO",3,2200,5519
6141,2,0,"","MEMO",3,2200,5505
6142,2,0,"","MEMO",3,2200,5508
6143,2,0,"","MEMO",3,2200,5516
5051,2,0,"","MEMO",1,2050,5354
5052,2,0,"","MEMO",1,2050,5350
5053,2,0,"","MEMO",1,2050,5355
5054,2,0,"","MEMO",1,2050,5352
5055,2,0,"","MEMO",1,2050,5356
5056,2,0,"","MEMO",1,2050,5359
5057,2,0,"","MEMO",1,2050,5351
5058,2,0,"","MEMO",1,2050,5357
5059,2,0,"","MEMO",1,2050,5353
5069,2,0,"","MEMO",3,2050,5354
5070,2,0,"","MEMO",3,2050,5350
5071,2,0,"","MEMO",3,2050,5355
5072,2,0,"","MEMO",3,2050,5352
5073,2,0,"","MEMO",3,2050,5359
5074,2,0,"","MEMO",3,2050,5351
5075,2,0,"","MEMO",3,2050,5357
5076,2,0,"","MEMO",3,2050,5353
5109,2,0,"","MEMO",1,2100,5400
5110,2,0,"","MEMO",1,2100,5454
5111,2,0,"","MEMO",1,2100,5360
5112,2,0,"","MEMO",1,2100,5362
5113,2,0,"","MEMO",1,2100,5452
5114,2,0,"","MEMO",1,2100,5363
5115,2,0,"","MEMO",1,2100,5401
5116,2,0,"","MEMO",1,2100,5361
5117,2,0,"","MEMO",1,2100,5450
5118,2,0,"","MEMO",1,2100,5453
5119,2,0,"","MEMO",1,2100,5402
5120,2,0,"","MEMO",1,2100,5455
5121,2,0,"","MEMO",1,2100,5451
5122,2,0,"","MEMO",2,2100,5400
5123,2,0,"","MEMO",2,2100,5454
5124,2,0,"","MEMO",2,2100,5360
5125,2,0,"","MEMO",2,2100,5362
5126,2,0,"","MEMO",2,2100,5363
5127,2,0,"","MEMO",2,2100,5401
5128,2,0,"","MEMO",2,2100,5361
5129,2,0,"","MEMO",2,2100,5450
5130,2,0,"","MEMO",2,2100,5453
5131,2,0,"","MEMO",2,2100,5402
5132,2,0,"","MEMO",2,2100,5455
5050,2,0,"","MEMO",1,2050,5358
5133,2,0,"","LETTER",2,2100,
5134,2,0,"","MEMO",3,2100,5400
5135,2,0,"","MEMO",3,2100,5454
5136,2,0,"","MEMO",3,2100,5360
5137,2,0,"","MEMO",3,2100,5362
5138,2,0,"","MEMO",3,2100,5363
5139,2,0,"","MEMO",3,2100,5401
5140,2,0,"","MEMO",3,2100,5361
5141,2,0,"","MEMO",3,2100,5450
5142,2,0,"","MEMO",3,2100,5453
5143,2,0,"","MEMO",3,2100,5402
5144,2,0,"","MEMO",3,2100,5455
5145,2,0,"","MEMO",4,2100,5400
5146,2,0,"","MEMO",4,2100,5454
5147,2,0,"","MEMO",4,2100,5360
5148,2,0,"","MEMO",4,2100,5362
5149,2,0,"","MEMO",4,2100,5363
5150,2,0,"","MEMO",4,2100,5401
5151,2,0,"","MEMO",4,2100,5361
5152,2,0,"","MEMO",4,2100,5450
5153,2,0,"","MEMO",4,2100,5453
5154,2,0,"","MEMO",4,2100,5402
5155,2,0,"","MEMO",4,2100,5455
5156,2,0,"","MEMO",5,2100,5400
5157,2,0,"","MEMO",5,2100,5454
5158,2,0,"","MEMO",5,2100,5360
5159,2,0,"","MEMO",5,2100,5362
5160,2,0,"","MEMO",5,2100,5363
5161,2,0,"","MEMO",5,2100,5401
5162,2,0,"","MEMO",5,2100,5361
5163,2,0,"","MEMO",5,2100,5450
5164,2,0,"","MEMO",5,2100,5453
5165,2,0,"","MEMO",5,2100,5402
5166,2,0,"","MEMO",5,2100,5455
5202,2,0,"","MEMO",2,2150,5459
5203,2,0,"","MEMO",2,2150,5467
5204,2,0,"","MEMO",2,2150,5457
5205,2,0,"","MEMO",2,2150,5469
5206,2,0,"","MEMO",2,2150,5462
5207,2,0,"","MEMO",2,2150,5470
5208,2,0,"","MEMO",2,2150,5463
5209,2,0,"","MEMO",2,2150,5466
5210,2,0,"","MEMO",2,2150,5461
5211,2,0,"","MEMO",2,2150,5468
5212,2,0,"","MEMO",2,2150,5456
5213,2,0,"","MEMO",2,2150,5464
5214,2,0,"","MEMO",2,2150,5458
5218,2,0,"","MEMO",3,2150,5463
5219,2,0,"","MEMO",3,2150,5473
5220,2,0,"","MEMO",3,2150,5461
5221,2,0,"","MEMO",3,2150,5457
5222,2,0,"","MEMO",3,2150,5460
5223,2,0,"","MEMO",3,2150,5456
5224,2,0,"","MEMO",3,2150,5458
5225,2,0,"","MEMO",3,2150,5465
5227,2,0,"","MEMO",2,2150,5540
6053,2,0,"","MEMO",4,2150,5468
6054,2,0,"","MEMO",5,2150,5463
6068,2,0,"","MEMO",6,2150,5468
6069,2,0,"","MEMO",6,2150,5463
6070,2,0,"","MEMO",6,2150,5461
6071,2,0,"","MEMO",6,2150,5457
6072,2,0,"","MEMO",6,2150,5460
6073,2,0,"","MEMO",6,2150,5456
6074,2,0,"","MEMO",6,2150,5458
6075,2,0,"","MEMO",6,2150,5465
6076,2,0,"","MEMO",6,2150,5466
6077,2,0,"","MEMO",6,2150,5467
6078,2,0,"","MEMO",6,2150,5459
6079,2,0,"","MEMO",6,2150,5464
6080,2,0,"","MEMO",6,2150,5462
6081,2,0,"","MEMO",6,2150,5540
6360,1,1,"25","PAMPHLET",1,2201,5535
6361,1,1,"100","PAMPHLET",1,2201,5534
6362,1,1,"50","PAMPHLET",1,2201,5531
6363,1,1,"50","PAMPHLET",1,2201,5536
6364,1,1,"50","PAMPHLET",1,2201,5529
6365,1,1,"75","PAMPHLET",1,2201,5525
6366,1,1,"50","PAMPHLET",1,2201,5527
6367,1,1,"50","PAMPHLET",1,2201,5528
6368,1,1,"75","PAMPHLET",1,2201,5533
6369,1,1,"75","BANNER",1,2201,
6370,1,1,"100","PAMPHLET",2,2201,5534
6371,1,1,"75","PAMPHLET",1,2201,5522
6082,2,0,"","MEMO",7,2150,5463
6083,2,0,"","MEMO",7,2150,5461
6084,2,0,"","MEMO",7,2150,5457
6085,2,0,"","MEMO",7,2150,5460
